predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meandonorage,LD,predspline,2,6691,1.28,0.64,0.5263460412,5.2637844E-01,0,0.8456630972
meandonorage,NTPROBNP,predspline,2,819,1.27,0.64,0.5291856364,5.2944713E-01,0,0.8456630972
foreigndonor,FERRITIN,predictorvalue,1,2565,0.39,0.39,0.5302234158,5.3027929E-01,0,0.8456630972
donorparity,ALB,predictorvalue,2,23080,1.26,0.63,0.5314063641,5.3141557E-01,0,0.8456630972
meandonationtime,LAKTAT,predspline,2,18837,1.26,0.63,0.5327415717,5.3275279E-01,0,0.8456630972
timesincecat,ALAT,predictorvalue,3,16883,2.16,0.72,0.5388996565,5.3891451E-01,0,0.8456630972
meandonorsex,GLUKOS,predictorvalue,1,44584,0.38,0.38,0.5392523191,5.3925545E-01,0,0.8456630972
meandonorage,SR,predspline,2,84,1.24,0.62,0.5376461079,5.4009242E-01,0,0.8456630972
idbloodgroupcat,RET,predictorvalue,1,498,0.37,0.37,0.5405718225,5.4085110E-01,0,0.8456630972
meandonorhb,HAPTO,predspline,2,367,1.23,0.62,0.5405697501,5.4112614E-01,0,0.8456630972
meandonorage,LPK,predspline,2,56326,1.22,0.61,0.5434558544,5.4345944E-01,0,0.8456630972
meandonorsex,GT,predictorvalue,1,7734,0.37,0.37,0.5441480158,5.4416582E-01,0,0.8456630972
foreigndonor,MCHC,predictorvalue,1,23939,0.36,0.36,0.5491913153,5.4919698E-01,0,0.8482672315
donorparity,CO2,predictorvalue,2,1071,1.20,0.60,0.55004678,5.5023018E-01,0,0.8482672315
meandonorhb,CA_F,predspline,2,20136,1.19,0.60,0.5514764083,5.5148611E-01,0,0.8482672315
